stratum,level,model,guesser_model,games,length_mean,length_median,length_min,length_sd,loss_rate,length_mean_wins,opponent_mean,opponent_sd,civilian_mean,civilian_sd,rounds,clue_count_mean,clue_count_sd,guesses_mean,guesses_sd,stop_early_rate,n_early_eligible,stop_late_rate,n_late_eligible
count_constraint,free,qwen/qwen3.5-9b,google/gemini-2.5-flash,177,8.384180790960452,9.0,1,4.32085041754112,0.7175141242937854,11.46,3.361581920903955,2.1987325339920094,2.9887005649717513,1.9276360362470704,1484,2.5950134770889486,1.527805467993659,1.5161725067385445,0.6654015158039319,0.0702054794520548,584,0.3111111111111111,180
count_constraint,free,qwen/qwen3.5-9b,meta-llama/llama-3.3-70b-instruct,177,8.05084745762712,9.0,1,4.273692232772766,0.7853107344632768,11.447368421052632,3.5254237288135593,2.355042454283828,3.1299435028248586,2.0588104733004813,1425,2.7080701754385963,1.5611499095268753,1.567719298245614,0.7559293185439617,0.0,501,0.9470588235294117,170
count_constraint,free,qwen/qwen3.5-9b,openai/gpt-4o-mini,174,7.350574712643678,7.0,1,4.1598236279646565,0.7873563218390804,10.513513513513514,3.1551724137931036,2.23064617096568,2.781609195402299,2.0565715190245464,1279,2.682564503518374,1.5201106716845902,1.601250977326036,0.7775397571145812,0.0,476,0.875,160
count_constraint,free,qwen/qwen3.5-9b,qwen/qwen3.5-9b,172,10.093023255813954,10.0,1,5.565406742546524,0.8604651162790697,15.041666666666666,3.5872093023255816,2.4275367878821417,3.0813953488372094,2.0954705610017585,1736,2.734447004608295,1.5429639632870733,1.2338709677419355,0.49145340358409806,0.5061728395061729,567,0.2822085889570552,163
count_constraint,min2,google/gemini-2.5-flash,google/gemini-2.5-flash,178,7.235955056179775,7.0,1,3.027267686823575,0.33146067415730335,8.453781512605042,2.460674157303371,1.7077833108241551,2.207865168539326,1.5132353724560605,1288,2.010869565217391,0.46128079696594654,1.7173913043478262,0.5282467480928902,0.0417607223476298,886,0.020242914979757085,247
count_constraint,min2,google/gemini-2.5-flash,meta-llama/llama-3.3-70b-instruct,173,6.971098265895954,7.0,1,3.5214091815647612,0.630057803468208,8.59375,2.9653179190751446,2.087882965169937,2.658959537572254,1.8282006224140535,1206,2.058872305140962,0.4723210687437582,1.7951907131011609,0.7943849136182167,0.0,696,0.9728506787330317,221
count_constraint,min2,google/gemini-2.5-flash,openai/gpt-4o-mini,177,6.954802259887006,7.0,1,3.2047890460988,0.5028248587570622,8.375,3.096045197740113,1.8819828029694712,2.531073446327684,1.7517509033905285,1231,2.0365556458164096,0.4696954522198243,1.8635255889520714,0.766722673251552,0.002554278416347382,783,0.9641255605381166,223
count_constraint,min2,google/gemini-2.5-flash,qwen/qwen3.5-9b,176,10.534090909090908,11.0,1,4.903523779339247,0.6931818181818182,13.814814814814815,3.5568181818181817,2.2871464668968975,3.1136363636363638,2.008165150760085,1854,2.0555555555555554,0.4653554936218385,1.274002157497303,0.4975964376703017,0.46335697399527187,846,0.16793893129770993,131
count_constraint,min2,meta-llama/llama-3.3-70b-instruct,google/gemini-2.5-flash,180,7.627777777777778,8.0,1,3.581502065518527,0.45555555555555555,9.316326530612244,2.988888888888889,1.9661631776677737,2.477777777777778,1.7543419576956332,1373,2.2002913328477787,0.6144042858196656,1.686817188638019,0.5898382635918483,0.06499429874572406,877,0.049689440993788817,161
count_constraint,min2,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,175,7.52,8.0,1,3.550683923111021,0.5885714285714285,9.38888888888889,3.3257142857142856,2.0711958422005314,2.8057142857142856,1.7574051628477534,1316,2.229483282674772,0.5970116001141759,1.7446808510638299,0.7732272824893663,0.0,725,0.8963414634146342,164
count_constraint,min2,meta-llama/llama-3.3-70b-instruct,openai/gpt-4o-mini,178,7.342696629213483,7.0,1,3.3665817847032793,0.5730337078651685,8.855263157894736,3.258426966292135,2.025420873540836,2.797752808988764,1.7184921473737629,1307,2.2249426166794186,0.6010881344719328,1.8385615914307574,0.7742686594210246,0.002472187886279357,809,0.9285714285714286,168
count_constraint,min2,meta-llama/llama-3.3-70b-instruct,qwen/qwen3.5-9b,180,10.522222222222222,10.0,1,4.99659722821001,0.7666666666666667,14.404761904761905,3.6444444444444444,2.293108992535012,3.183333333333333,1.9244820822538724,1894,2.24181626187962,0.5710243028010276,1.26610348468849,0.5034922121232664,0.5017921146953405,837,0.25274725274725274,91
count_constraint,min2,openai/gpt-4o-mini,google/gemini-2.5-flash,177,7.903954802259887,8.0,1,2.889407803078515,0.4293785310734463,9.029702970297029,2.8022598870056497,1.6720956775263374,2.519774011299435,1.4697340339180802,1399,2.048606147248034,0.48341209608396873,1.6497498213009292,0.5417989246066335,0.03669724770642202,872,0.0390625,256
count_constraint,min2,openai/gpt-4o-mini,meta-llama/llama-3.3-70b-instruct,174,7.155172413793103,8.0,1,3.7546197707998124,0.6494252873563219,9.639344262295081,3.0919540229885056,2.1564913909545704,2.7586206896551726,1.830793234325685,1245,2.061847389558233,0.4879889756510141,1.7469879518072289,0.7389601218955125,0.0,704,0.956989247311828,186
count_constraint,min2,openai/gpt-4o-mini,openai/gpt-4o-mini,173,7.265895953757226,7.0,1,2.9744735572198007,0.5606936416184971,8.81578947368421,3.179190751445087,1.8002665931538016,2.791907514450867,1.6783655367999015,1257,2.064439140811456,0.4950233456457315,1.8106603023070804,0.7427661503458474,0.0012970168612191958,771,0.9556650246305419,203
count_constraint,min2,openai/gpt-4o-mini,qwen/qwen3.5-9b,178,10.955056179775282,11.0,1,5.191061662441189,0.7134831460674157,14.352941176470589,3.741573033707865,2.224811754304972,3.146067415730337,1.9974591871848073,1950,2.0646153846153847,0.47398102285309324,1.2353846153846153,0.4614199766347241,0.5174418604651163,860,0.14166666666666666,120
